Driver enabled. Microsteps: 16
TIM6 initialized at 10 kHz via HardwareTimer
Stepping running asynchronously at 10 kHz (100 µs intervals)
Setup complete.
3906,108,0.005372,12.00
3908,103,1.853361,17.00
3928,104,-0.034762,16.00
3947,103,0.041357,17.00
3967,102,0.039542,18.00
3987,103,-0.034626,17.00
4006,100,0.119691,20.00
4026,104,-0.145811,16.00
4046,101,0.113719,19.00
4065,105,-0.153731,15.00
4085,99,0.225043,21.00
4104,104,-0.192564,16.00
4124,105,-0.034873,15.00
4144,101,0.150748,19.00
4164,106,-0.183078,14.00
4183,101,0.197513,19.00
4203,105,-0.145924,15.00
4222,104,0.041254,16.00
4242,104,0.002288,16.00
4262,101,0.113740,19.00
4281,106,-0.192809,14.00
4301,106,0.002032,14.00
4321,103,0.113484,17.00
4340,104,-0.036671,16.00
4360,98,0.225199,22.00
4380,103,-0.182666,17.00
4399,106,-0.114862,14.00
4419,103,0.113494,17.00
4439,105,-0.071863,15.00
4458,102,0.119473,18.00
4478,105,-0.108879,15.00
4498,106,-0.034968,14.00
4517,100,0.236643,20.00
4537,103,-0.108612,17.00
4557,105,-0.071852,15.00
4576,103,0.080386,17.00
4596,101,0.076752,19.00
4616,105,-0.145885,15.00
4635,103,0.080392,17.00
4655,102,0.039608,18.00
4675,103,-0.034560,17.00
4694,105,-0.075735,15.00
4714,100,0.187953,20.00
4734,104,-0.145743,16.00
4753,104,0.002337,16.00
4773,106,-0.071961,14.00
4793,103,0.113530,17.00
4812,103,0.002473,17.00
4832,104,-0.034675,16.00
4852,104,0.002346,16.00
4871,103,0.041446,17.00
4891,105,-0.071820,15.00
4911,104,0.039371,16.00
4930,104,0.002353,16.00
4950,101,0.113805,19.00
4970,105,-0.145851,15.00
4989,102,0.119524,18.00
5009,102,0.002622,18.00
5029,103,-0.034526,17.00
5048,102,0.041594,18.00
5068,101,0.039778,19.00
5088,104,-0.108689,16.00
5107,105,-0.036728,15.00
5127,102,0.113692,18.00
5147,105,-0.108814,15.00
5166,101,0.158640,19.00
5186,107,-0.220130,13.00
5206,104,0.113438,16.00
5225,105,-0.036717,15.00
5245,101,0.150853,19.00
5265,105,-0.145823,15.00
5284,104,0.041355,16.00
5304,106,-0.071911,14.00
5324,102,0.150730,18.00
5343,102,0.002654,18.00
5363,102,0.002656,18.00
5383,102,0.002658,18.00
5402,101,0.041758,19.00
5422,105,-0.145808,15.00
5442,104,0.039422,16.00
5461,101,0.119700,19.00
5481,101,0.002798,19.00
5501,103,-0.071500,17.00
5520,104,-0.036557,16.00
5540,106,-0.071888,14.00
5560,101,0.187903,19.00
5579,103,-0.075389,17.00
5599,104,-0.034601,16.00
5618,103,0.041518,17.00
5638,106,-0.108898,14.00
5658,104,0.076462,16.00
5677,104,0.002425,16.00
5697,106,-0.071873,14.00
5717,105,0.039318,15.00
5736,104,0.041398,16.00
5756,100,0.151032,20.00
5776,98,0.077257,22.00
5795,96,0.081417,24.00
5815,95,0.040634,25.00
5835,91,0.152218,29.00
5854,89,0.082340,31.00
5874,87,0.078707,33.00
5894,86,0.041822,34.00
5913,84,0.083003,36.00
5933,83,0.042222,37.00
5953,88,-0.180544,32.00
5972,93,-0.190935,27.00
5992,97,-0.144693,23.00
6012,106,-0.330962,14.00
6031,120,-0.545163,0.00
6051,130,-0.371113,-10.00
6071,137,-0.260970,-17.00
6090,147,-0.392819,-27.00
6110,150,-0.114594,-30.00
6130,153,-0.114989,-33.00
6149,153,-0.003934,-33.00
6169,160,-0.263988,-40.00
6189,160,-0.004856,-40.00
6208,164,-0.161254,-44.00
6228,144,0.737613,-24.00
6248,150,-0.225680,-30.00
6267,147,0.113729,-27.00
6287,142,0.182573,-22.00
6306,142,-0.002527,-22.00
6326,137,0.183220,-17.00
6346,125,0.443922,-5.00
6366,113,0.445487,7.00
6385,96,0.665928,24.00
6405,76,0.746477,44.00
6424,51,0.983553,69.00
6447,33,0.591150,87.00
6466,33,0.011724,87.00
6486,37,-0.136866,83.00
6506,45,-0.285979,75.00
6525,59,-0.537193,61.00
6545,112,-1.960588,8.00
6564,142,-1.171506,-22.00
6585,143,-0.037859,-23.00
6604,123,0.779364,-3.00
6623,119,0.156399,1.00
6644,131,-0.424119,-11.00
6663,134,-0.118336,-14.00
6682,147,-0.509713,-27.00
6702,148,-0.040284,-28.00
6722,156,-0.300468,-36.00
6742,156,-0.004316,-36.00
6761,154,0.073877,-34.00
6781,158,-0.152663,-38.00
6801,153,0.181161,-33.00
6820,151,0.074257,-31.00
6840,152,-0.040832,-32.00
6860,156,-0.152417,-36.00
6879,155,0.034756,-35.00
6899,154,0.032934,-34.00
6919,153,0.033060,-33.00
6938,152,0.035136,-32.00
6958,155,-0.115286,-35.00
6977,151,0.152162,-31.00
6998,148,0.102449,-28.00
7017,149,-0.042423,-29.00
7036,148,0.035640,-28.00
7057,145,0.102831,-25.00
7076,142,0.114353,-22.00
7095,144,-0.080750,-24.00
7115,143,0.034334,-23.00
7135,141,0.071612,-21.00
7155,140,0.034720,-20.00
7174,138,0.075895,-18.00
7193,135,0.115253,-15.00
7214,135,-0.001653,-15.00
7233,133,0.076543,-13.00
7253,132,0.035755,-12.00
7273,132,-0.001265,-12.00
7292,133,-0.040365,-13.00
7312,137,-0.149999,-17.00
7331,134,0.115372,-14.00
7351,137,-0.112983,-17.00
7371,141,-0.150527,-21.00
7390,149,-0.315238,-29.00
7411,147,0.067276,-27.00
7430,147,-0.003241,-27.00
7449,146,0.035855,-26.00
7469,147,-0.040266,-27.00
7489,146,0.033900,-26.00
7508,151,-0.198614,-31.00
7528,154,-0.115228,-34.00
7548,161,-0.264224,-41.00
7568,160,0.032058,-40.00
7587,160,-0.004966,-40.00
7607,162,-0.079271,-42.00
7627,164,-0.079537,-44.00
7646,165,-0.044601,-45.00
7666,164,0.031512,-44.00
7686,159,0.180238,-39.00
7705,162,-0.122160,-42.00
7725,157,0.180490,-37.00
7745,157,-0.004612,-37.00
7764,152,0.190876,-32.00
7784,154,-0.078267,-34.00
7804,149,0.181518,-29.00
7823,146,0.113713,-26.00
7843,145,0.033956,-25.00
7863,140,0.182684,-20.00
7882,133,0.271273,-13.00
7902,129,0.147097,-9.00
7922,122,0.259068,-2.00
7941,117,0.195423,3.00
7961,116,0.037734,4.00
7981,104,0.446516,16.00
8000,101,0.119579,19.00
8020,100,0.039827,20.00
8039,93,0.276499,27.00
8060,92,0.039114,28.00
8079,93,-0.035238,27.00
8098,98,-0.191759,22.00
8119,111,-0.456951,9.00
8138,116,-0.194105,4.00
8157,128,-0.468447,-8.00
8177,146,-0.669534,-26.00
8197,158,-0.448986,-38.00
8217,166,-0.301957,-46.00
8236,161,0.189686,-41.00
8256,149,0.440643,-29.00
