6,0.001798,54.00
15488,80,0.001685,40.00
15507,80,0.001686,40.00
15527,79,0.009317,41.00
15547,81,-0.013546,39.00
15566,79,0.017723,41.00
15586,80,-0.005914,40.00
15605,79,0.009721,41.00
15625,77,0.016978,43.00
15645,79,-0.013489,41.00
15664,81,-0.014341,39.00
15684,78,0.024558,42.00
15704,78,0.001747,42.00
15723,76,0.017809,44.00
15743,82,-0.043978,38.00
15763,80,0.016906,40.00
15782,79,0.009729,41.00
15802,81,-0.013534,39.00
15821,85,-0.030446,35.00
15841,78,0.054981,42.00
15860,81,-0.022336,39.00
15880,77,0.032197,43.00
15900,80,-0.021107,40.00
15919,80,0.001705,40.00
15939,79,0.009336,41.00
15958,79,0.001733,41.00
15978,81,-0.013526,39.00
15998,79,0.016943,41.00
16017,82,-0.022355,38.00
16037,79,0.024548,41.00
16057,84,-0.036412,36.00
16076,77,0.057819,43.00
16096,80,-0.021098,40.00
16115,80,0.001714,40.00
16135,78,0.016975,42.00
16154,79,-0.006262,41.00
16174,74,0.039893,46.00
16194,77,-0.021015,43.00
16213,80,-0.022293,40.00
16233,78,0.016980,42.00
16253,84,-0.044007,36.00
time_ms,distance_mm,PIDOut,error
Driver will be enabled in 2000 ms if position is at mechanical zero...
Driver enabled. Microsteps: 16
TIM6 initialized at 10 kHz via HardwareTimer
Stepping running asynchronously at 10 kHz (100 µs intervals)
Setup complete.
3906,45,0.006838,75.00
3908,42,0.230362,78.00
3928,30,0.093807,90.00
3947,27,0.026653,93.00
3967,29,-0.012617,91.00
3986,28,0.010623,92.00
4006,28,0.002621,92.00
4025,28,0.002623,92.00
4045,29,-0.005005,91.00
4065,28,0.010231,92.00
4084,29,-0.005401,91.00
4104,28,0.010235,92.00
4124,28,0.002633,92.00
4143,30,-0.013425,90.00
4163,30,0.002585,90.00
4183,29,0.010217,91.00
4202,30,-0.005415,90.00
4222,30,0.002591,90.00
4241,31,-0.005437,89.00
4261,26,0.040719,94.00
4281,30,-0.027818,90.00
4300,27,0.026690,93.00
4320,28,-0.004950,92.00
4340,29,-0.004974,91.00
4359,30,-0.005399,90.00
4379,27,0.025498,93.00
4399,28,-0.004942,92.00
4418,28,0.002664,92.00
4438,30,-0.012594,90.00
4457,27,0.026707,93.00
4477,28,-0.004934,92.00
4496,26,0.018733,94.00
4516,28,-0.012533,92.00
4536,27,0.010307,93.00
4555,31,-0.029416,89.00
4575,27,0.033122,93.00
4595,30,-0.020181,90.00
4614,28,0.018693,92.00
4634,30,-0.012573,90.00
4654,28,0.017897,92.00
4673,29,-0.005339,91.00
4693,27,0.017927,93.00
4713,30,-0.020169,90.00
4732,30,0.002645,90.00
4752,28,0.017907,92.00
4771,28,0.002701,92.00
4791,31,-0.020187,89.00
4810,28,0.026718,92.00
4830,27,0.010337,93.00
4850,28,-0.004894,92.00
4869,31,-0.021379,89.00
4889,28,0.025525,92.00
4909,27,0.010346,93.00
4928,28,-0.005286,92.00
4948,28,0.002720,92.00
4968,28,0.002722,92.00
4987,27,0.010754,93.00
5007,27,0.002752,93.00
5026,29,-0.013306,91.00
5046,28,0.010334,92.00
5066,31,-0.020158,89.00
5085,29,0.018716,91.00
5105,30,-0.004920,90.00
5124,26,0.034807,94.00
5144,30,-0.027727,90.00
5164,28,0.017950,92.00
5183,27,0.010775,93.00
5203,27,0.002773,93.00
5223,31,-0.027745,89.00
5242,29,0.018733,91.00
5262,28,0.010357,92.00
5282,26,0.018015,94.00
5301,30,-0.029312,90.00
5321,29,0.010337,91.00
5340,29,0.002735,91.00
5360,29,0.002737,91.00
5380,29,0.002739,91.00
5399,29,0.002741,91.00
5419,28,0.010373,92.00
5438,29,-0.005259,91.00
5458,29,0.002747,91.00
5477,28,0.010779,92.00
5497,27,0.010407,93.00
5517,28,-0.004824,92.00
5536,29,-0.005249,91.00
5556,28,0.010388,92.00
5576,29,-0.004844,91.00
5595,27,0.018822,93.00
5615,29,-0.012444,91.00
5635,29,0.002766,91.00
5654,28,0.010798,92.00
5674,28,0.002796,92.00
5694,28,0.002798,92.00
5713,29,-0.005230,91.00
5733,30,-0.004854,90.00
5752,29,0.010782,91.00
5772,29,0.002780,91.00
5792,29,0.002782,91.00
5811,28,0.010815,92.00
5831,27,0.010443,93.00
5851,29,-0.012419,91.00
5870,30,-0.005240,90.00
5890,30,0.002767,90.00
5909,28,0.018829,92.00
5929,26,0.018083,94.00
5948,30,-0.029244,90.00
5968,30,0.002775,90.00
5988,25,0.040927,95.00
6007,26,-0.005121,94.00
6027,29,-0.020005,91.00
6047,28,0.010439,92.00
6066,28,0.002837,92.00
6086,29,-0.004791,91.00
6106,26,0.025706,94.00
6125,29,-0.021195,91.00
6145,28,0.010450,92.00
6164,25,0.026938,95.00
6184,28,-0.019962,92.00
6203,28,0.002852,92.00
6223,27,0.010484,93.00
6243,29,-0.012378,91.00
6262,27,0.018892,93.00
6282,27,0.002886,93.00
6302,27,0.002889,93.00
6321,27,0.002891,93.00
6341,30,-0.019997,90.00
6360,28,0.018877,92.00
6380,28,0.002871,92.00
6400,29,-0.004757,91.00
6419,28,0.010879,92.00
6439,28,0.002877,92.00
6458,26,0.018939,94.00
6478,28,-0.012327,92.00
6498,28,0.002883,92.00
6517,27,0.010915,93.00
6537,26,0.010543,94.00
6557,28,-0.012318,92.00
6576,28,0.002891,92.00
6596,27,0.010524,93.00
6616,29,-0.012338,91.00
6635,28,0.010902,92.00
6655,29,-0.004730,91.00
6675,27,0.018136,93.00
6694,27,0.002930,93.00
6714,32,-0.035218,88.00
6733,31,0.010834,89.00
6753,28,0.025722,92.00
6772,28,0.002912,92.00
6792,30,-0.012346,90.00
6812,27,0.025754,93.00
6831,28,-0.005086,92.00
6851,28,0.002920,92.00
6871,29,-0.004707,91.00
6890,28,0.010929,92.00
6910,27,0.010557,93.00
6930,28,-0.004675,92.00
6949,28,0.002931,92.00
6969,28,0.002933,92.00
6988,29,-0.005095,91.00
7008,29,0.002911,91.00
7028,28,0.010543,92.00
7047,30,-0.013119,90.00
7067,31,-0.004739,89.00
7086,30,0.010897,90.00
7106,28,0.018155,92.00
7125,28,0.002949,92.00
7145,27,0.010581,93.00
7165,30,-0.019911,90.00
7184,29,0.010933,91.00
7204,28,0.010561,92.00
7224,28,0.002960,92.00
7243,28,0.002962,92.00
7263,29,-0.004666,91.00
7282,28,0.010970,92.00
7302,31,-0.019922,89.00
7322,28,0.025782,92.00
7341,29,-0.005058,91.00
7361,30,-0.004682,90.00
7381,29,0.010554,91.00
7400,28,0.010982,92.00
7420,33,-0.035170,87.00
7440,28,0.041002,92.00
7459,30,-0.013076,90.00
7479,28,0.018194,92.00
7498,30,-0.013072,90.00
7518,30,0.002938,90.00
7537,30,0.002940,90.00
7557,29,0.010572,91.00
7577,33,-0.027550,87.00
7596,28,0.043019,92.00
7616,30,-0.012260,90.00
7636,29,0.010580,91.00
7655,31,-0.013082,89.00
7675,29,0.018188,91.00
7695,30,-0.004648,90.00
7714,27,0.027049,93.00
7734,29,-0.012221,91.00
7754,27,0.018249,93.00
7773,30,-0.021048,90.00
7793,28,0.018227,92.00
7812,28,0.003021,92.00
7832,27,0.010653,93.00
7851,28,-0.004979,92.00
7871,27,0.010657,93.00
7891,29,-0.012205,91.00
7910,29,0.003005,91.00
7930,29,0.003007,91.00
7950,28,0.010639,92.00
7969,28,0.003037,92.00
7989,29,-0.004590,91.00
8008,29,0.003015,91.00
8028,27,0.018278,93.00
8048,29,-0.012188,91.00
8067,29,0.003022,91.00
8087,30,-0.004606,90.00
8107,29,0.010630,91.00
8126,30,-0.005002,90.00
8146,29,0.010634,91.00
8166,29,0.003032,91.00
8185,29,0.003034,91.00
8205,29,0.003036,91.00
