time_ms,distance_mm,PIDOut,error
Driver will be enabled in 2000 ms if position is at mechanical zero...
Driver enabled. Microsteps: 16
8403,30,0.061182,90.00
8408,30,0.036280,90.00
8428,30,0.036283,90.00
8447,30,0.036286,90.00
8466,28,0.239178,92.00
8486,29,-0.059317,91.00
8506,27,0.229470,93.00
8525,27,0.037473,93.00
8545,28,-0.058916,92.00
8565,28,0.037087,92.00
8584,28,0.037090,92.00
8604,27,0.133485,93.00
8624,29,-0.155296,91.00
8643,28,0.138151,92.00
8663,28,0.037101,92.00
8682,28,0.037104,92.00
8702,28,0.037107,92.00
8722,27,0.133502,93.00
8741,29,-0.165384,91.00
8760,27,0.239613,93.00
8781,29,-0.146130,91.00
8800,29,0.036730,91.00
8820,28,0.133124,92.00
8839,28,0.037127,92.00
8859,29,-0.059262,91.00
8879,28,0.133133,92.00
8898,27,0.138581,93.00
8918,29,-0.155253,91.00
8938,26,0.325926,94.00
8957,31,-0.469295,89.00
8977,27,0.421540,93.00
8996,28,-0.063902,92.00
9016,29,-0.059239,91.00
9036,28,0.133156,92.00
9055,29,-0.064286,91.00
9075,27,0.229554,93.00
9095,30,-0.251619,90.00
9114,29,0.137828,91.00
9134,28,0.133171,92.00
9154,31,-0.252003,89.00
9173,29,0.238889,91.00
9193,29,0.036787,91.00
9212,27,0.239679,93.00
9232,29,-0.155207,91.00
9252,26,0.325972,94.00
9271,30,-0.367804,90.00
9291,28,0.229193,92.00
9310,28,0.037196,92.00
9330,29,-0.059193,91.00
9350,27,0.229594,93.00
9369,27,0.037597,93.00
9389,29,-0.155184,91.00
9409,29,0.036819,91.00
9428,29,0.036822,91.00
9448,28,0.133217,92.00
9468,27,0.133611,93.00
9487,28,-0.063830,92.00
9506,27,0.138670,93.00
9527,30,-0.237842,90.00
9546,28,0.239336,92.00
9566,28,0.037234,92.00
9585,28,0.037237,92.00
9605,27,0.133632,93.00
9625,27,0.037635,93.00
18006,28,0.038247,92.00
18011,28,0.038477,92.00
18030,31,-0.265854,89.00
18049,30,0.138751,90.00
18070,30,0.037702,90.00
18089,28,0.240594,92.00
18108,30,-0.164398,90.00
18128,31,-0.058682,89.00
18148,30,0.133713,90.00
18167,30,0.037716,90.00
18187,28,0.230502,92.00
18206,27,0.139950,93.00
18227,29,-0.144741,91.00
18246,29,0.038119,91.00
18265,28,0.139567,92.00
18285,28,0.038517,92.00
18305,27,0.134912,93.00
18324,27,0.038915,93.00
18344,29,-0.153866,91.00
18364,30,-0.058256,90.00
18383,28,0.240637,92.00
18403,29,-0.057858,91.00
18423,29,0.038145,91.00
18442,29,0.038148,91.00
18461,31,-0.164739,89.00
18481,29,0.230153,91.00
18501,29,0.038156,91.00
18521,27,0.230943,93.00
18540,29,-0.163943,91.00
18559,28,0.139610,92.00
18580,31,-0.236902,89.00
18599,28,0.341721,92.00
18619,29,-0.057826,91.00
18638,28,0.139621,92.00
18658,30,-0.154213,90.00
18678,28,0.230574,92.00
18697,29,-0.062868,91.00
18716,29,0.038188,91.00
